Unnamed: 0,번호,참고문헌양식
,,
,2.0,"Basanta-Val  P ,Audsley  N  C ,Wellings  A  J ,Gray  I ,Fernandez-Garcia  N . ""Architecting Time-Critical Big-Data Systems"" IEEE Transactions on Big Data : 310-324.
"
,3.0,"Nunes  Rickey T  P ,Deshpande  Santosh L . ""Computation migration: a new approach to execute big-data bioinformatics workflows"" International journal of big data intelligence : 156-164.
"
,4.0,"Baah-Peprah  Prince,Shneor  Rotem. ""A trust-based crowdfunding campaign marketing framework: theoretical underpinnings and big-data analytics practice"" International journal of big data management : 1-24.
"
,5.0,"Raghavan  Krishnan,Jagannathan  Sarangapani,Samaranayake  V  A . ""A Game Theoretic Approach for Addressing Domain-Shift in Big-Data"" IEEE Transactions on Big Data : 1610-1621.
"
,6.0," ""Authors' Response to Gong's, “Comment on Data Science and its Relationship to Big Data and Data-Driven Decision Making”"" Big Data : 1-1.
"
,7.0," ""Correction to: Predictive Modeling with Big Data: Is Bigger Really Better? by Junqué de Fortuny E, Martens D, and Provost F. Big Data 2013;1(4):215–226."" Big Data : 83-83.
"
,8.0," ""Data Science and its Relationship to Big Data and Data-Driven Decision Making"" Big Data : 51-59.
"
,9.0," ""Computational Propaganda and Political Big Data: Moving Toward a More Critical Research Agenda"" Big Data : 273-276.
"
,10.0," ""The Structural Consequences of Big Data-Driven Education"" Big Data : 164-172.
"
,11.0,"Basanta-Val  P ,Sánchez-Fernández  L . ""Big-BOE: Fusing Spanish Official Gazette with Big Data Technology"" Big Data : 124-138.
"
,12.0,"Qi  Zhang,Xuelong  Liu. ""Big data: new methods and ideas in geological scientific research"" Big earth data : 1-7.
"
,13.0,"Chakraborty  Chinmay,Khan  Muhammad Khurram,Ahmad  Ishfaq. ""Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation"" Big Data : 151-152.
"
,14.0,"Yu  Yao,Zhao  Junhui,Lenan  Wu. ""Multiple Targets Tracking with Big Data-Based Measurement for Extended Binary Phase Shift Keying Transceiver"" Big Data : 87-98.
"
,15.0,"Chakraborty  Chinmay,Khan  Muhammad Khurram,Ahmad  Ishfaq. ""Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation"" Big Data : 324-325.
"
,16.0,"Chakraborty  Chinmay,Khan  Muhammad Khurram,Ahmad  Ishfaq. ""Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation"" Big Data : 402-403.
"
,17.0," ""Bring it on, Big Data: Beyond the Hype"" Big Data : 73-75.
"
